match_no,stage,group_name,home_team,away_team,kickoff_uk,venue_city,venue_country
1,Group Stage,A,Mexico,South Africa,2026-06-11 20:00,Mexico City,Mexico
2,Group Stage,A,South Korea,Czech Republic,2026-06-12 03:00,Zapopan,Mexico
3,Group Stage,B,Canada,Bosnia & Herzegovina,2026-06-12 20:00,Toronto,Canada
4,Group Stage,D,USA,Paraguay,2026-06-13 02:00,Los Angeles,USA
5,Group Stage,B,Qatar,Switzerland,2026-06-13 20:00,Santa Clara,USA
6,Group Stage,C,Brazil,Morocco,2026-06-13 23:00,New Jersey,USA
7,Group Stage,C,Haiti,Scotland,2026-06-14 02:00,Foxborough,USA
8,Group Stage,D,Australia,Turkey,2026-06-14 05:00,Vancouver,Canada
9,Group Stage,E,Germany,Curacao,2026-06-14 18:00,Houston,USA
10,Group Stage,F,Netherlands,Japan,2026-06-14 21:00,Arlington,USA
11,Group Stage,E,Ivory Coast,Ecuador,2026-06-15 00:00,Philadelphia,USA
12,Group Stage,F,Sweden,Tunisia,2026-06-15 03:00,Guadalupe,Mexico
13,Group Stage,H,Spain,Cape Verde,2026-06-15 17:00,Atlanta,USA
14,Group Stage,G,Belgium,Egypt,2026-06-15 20:00,Seattle,USA
15,Group Stage,H,Saudi Arabia,Uruguay,2026-06-15 23:00,Miami,USA
16,Group Stage,G,Iran,New Zealand,2026-06-16 02:00,Los Angeles,USA
17,Group Stage,I,France,Senegal,2026-06-16 20:00,New Jersey,USA
18,Group Stage,I,Iraq,Norway,2026-06-16 23:00,Foxborough,USA
19,Group Stage,J,Argentina,Algeria,2026-06-17 02:00,Kansas City,USA
20,Group Stage,J,Austria,Jordan,2026-06-17 05:00,Santa Clara,USA
21,Group Stage,K,Portugal,DR Congo,2026-06-17 18:00,Houston,USA
22,Group Stage,L,England,Croatia,2026-06-17 21:00,Arlington,USA
23,Group Stage,L,Ghana,Panama,2026-06-18 00:00,Toronto,Canada
24,Group Stage,K,Uzbekistan,Colombia,2026-06-18 03:00,Mexico City,Mexico
25,Group Stage,A,Czech Republic,South Africa,2026-06-18 17:00,Atlanta,USA
26,Group Stage,B,Switzerland,Bosnia & Herzegovina,2026-06-18 20:00,Los Angeles,USA
27,Group Stage,B,Canada,Qatar,2026-06-18 23:00,Vancouver,Canada
28,Group Stage,A,Mexico,South Korea,2026-06-19 02:00,Zapopan,Mexico
29,Group Stage,D,USA,Australia,2026-06-19 20:00,Seattle,USA
30,Group Stage,C,Scotland,Morocco,2026-06-19 23:00,Foxborough,USA
31,Group Stage,C,Brazil,Haiti,2026-06-20 01:30,Philadelphia,USA
32,Group Stage,D,Turkey,Paraguay,2026-06-20 04:00,Santa Clara,USA
33,Group Stage,F,Netherlands,Sweden,2026-06-20 18:00,Houston,USA
34,Group Stage,E,Germany,Ivory Coast,2026-06-20 21:00,Toronto,Canada
35,Group Stage,E,Ecuador,Curacao,2026-06-21 01:00,Kansas City,USA
36,Group Stage,F,Tunisia,Japan,2026-06-21 05:00,Guadalupe,Mexico
37,Group Stage,H,Spain,Saudi Arabia,2026-06-21 17:00,Atlanta,USA
38,Group Stage,G,Belgium,Iran,2026-06-21 20:00,Los Angeles,USA
39,Group Stage,H,Uruguay,Cape Verde,2026-06-21 23:00,Miami,USA
40,Group Stage,G,New Zealand,Egypt,2026-06-22 02:00,Vancouver,Canada
41,Group Stage,J,Argentina,Austria,2026-06-22 18:00,Arlington,USA
42,Group Stage,I,France,Iraq,2026-06-22 22:00,Philadelphia,USA
43,Group Stage,I,Norway,Senegal,2026-06-23 01:00,Toronto,Canada
44,Group Stage,J,Jordan,Algeria,2026-06-23 04:00,Santa Clara,USA
45,Group Stage,K,Portugal,Uzbekistan,2026-06-23 18:00,Houston,USA
46,Group Stage,L,England,Ghana,2026-06-23 21:00,Foxborough,USA
47,Group Stage,L,Panama,Croatia,2026-06-24 00:00,Foxborough,USA
48,Group Stage,K,Colombia,DR Congo,2026-06-24 03:00,Zapopan,Mexico
49,Group Stage,B,Switzerland,Canada,2026-06-24 20:00,Vancouver,Canada
50,Group Stage,B,Bosnia & Herzegovina,Qatar,2026-06-24 20:00,Seattle,USA
51,Group Stage,C,Morocco,Haiti,2026-06-24 23:00,Atlanta,USA
52,Group Stage,C,Scotland,Brazil,2026-06-24 23:00,Miami,USA
53,Group Stage,A,South Africa,South Korea,2026-06-25 02:00,Guadalupe,Mexico
54,Group Stage,A,Czech Republic,Mexico,2026-06-25 02:00,Mexico City,Mexico
55,Group Stage,E,Curacao,Ivory Coast,2026-06-25 21:00,Philadelphia,USA
56,Group Stage,E,Ecuador,Germany,2026-06-25 21:00,New Jersey,USA
57,Group Stage,F,Tunisia,Netherlands,2026-06-26 00:00,Kansas City,USA
58,Group Stage,F,Japan,Sweden,2026-06-26 00:00,Arlington,USA
59,Group Stage,D,Turkey,USA,2026-06-26 03:00,Los Angeles,USA
60,Group Stage,D,Paraguay,Australia,2026-06-26 03:00,Santa Clara,USA
61,Group Stage,I,Norway,France,2026-06-26 20:00,Foxborough,USA
62,Group Stage,I,Senegal,Iraq,2026-06-26 20:00,Toronto,Canada
63,Group Stage,H,Cape Verde,Saudi Arabia,2026-06-27 01:00,Houston,USA
64,Group Stage,H,Uruguay,Spain,2026-06-27 01:00,Zapopan,Mexico
65,Group Stage,G,New Zealand,Belgium,2026-06-27 04:00,Vancouver,Canada
66,Group Stage,G,Egypt,Iran,2026-06-27 04:00,Seattle,USA
67,Group Stage,L,Panama,England,2026-06-27 22:00,New Jersey,USA
